"","Cluster","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll"
"1",1,174431.510638298,673.163120567376,31985.085106383,28.1347517730496,5859.23404255319,17,4684.90070921986
"2",2,32706.6666666667,126.466666666667,3097.47843137255,4.28470588235294,181.469803921569,0.540392156862745,2281.05490196078
"3",3,67977.4360523666,34.9939577039275,24490.0191339376,18.429003021148,289.471299093656,0.885196374622356,3416.78348439074
"4",4,60166.1759729272,55.2081218274112,8709.71235194585,8.36209813874789,203.258883248731,0.629441624365482,6109.53976311337
"5",5,219161.401960784,539.578431372549,62474.4828431373,21.5245098039216,623.872549019608,1.92156862745098,5605.05147058824
