"","hcluster","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll"
"1",1,16421.1736196319,83.4815950920245,3784.59754601227,6.62638036809816,173.936196319018,0.586503067484663,3559.36134969325
"2",2,59191.6796246649,123.024798927614,22340.4115281501,13.7908847184987,463.477211796247,1.31836461126005,4203.85589812332
"3",3,500865.675675676,424.342342342342,53835.3423423423,20.2432432432432,1616.07207207207,5.17117117117117,6051.67567567568
"4",4,132940.009433962,248.520754716981,28165.4716981132,16.0566037735849,831.835849056604,2.36792452830189,4766.00754716981
"5",5,225410.656779661,329.949152542373,34567.9194915254,18.0593220338983,1035.9406779661,3.13983050847458,5078.33474576271
